 r/R   c/R  beta
0.15 0.112 34.11
0.20 0.126 42.88
0.25 0.141 40.83
0.30 0.152 35.05
0.35 0.158 30.43
0.40 0.160 26.83
0.45 0.159 23.97
0.50 0.154 21.64
0.55 0.159 19.73
0.60 0.162 17.93
0.65 0.163 16.26
0.70 0.162 14.95
0.75 0.162 13.81
0.80 0.161 12.98
0.85 0.161 12.19
0.90 0.161 11.81
0.95 0.157 11.25
1.00 0.152 10.66
