T-Motor T40

r/R 		chord [mm]
0.21900793650793648 76.66666666666667 20.936627165984216
0.2992063492063493 93.33333333333334 18.439677847981127
0.38210622710622716 96.92307692307693 15.09368983377173
0.4639713064713065 93.58974358974359 12.596333758169045
0.5467551892551894 87.43589743589745 10.88713832470103
0.6266666666666667 80.00000000000001 9.541448599398002
0.7094200244200246 71.2820512820513 8.377579521110718
0.7902594627594628 61.794871794871796 7.2743173251620235
0.8701495726495729 52.56410256410257  6.171461886812917
0.9547619047619049 40 5.310356048485502
