# Reynolds:  0.36718E+05
# Mach:  0.20334E+00
#  r/R          c/R          V (m/s)      AoA (deg)    beta (deg)   phi (deg)    Cl           Cd           s factor     Ue (m/s)     dp/ds (Pa/m) delta (m)    delta* (m)   theta (m)    tau_w (Pa)   x trans/c    Ue (m/s)     dp/ds (Pa/m) delta (m)    delta* (m)   theta (m)    tau_w (Pa)   x trans/c
#  0.51897E+00  0.17556E+00  0.10758E+02  0.69384E+01  0.20058E+02  0.12687E+02  0.10405E+01  0.45567E-01  0.10928E+00  0.10638E+02  0.17653E+04  0.49220E-02  0.23051E-02  0.72144E-03  0.79201E-01  0.54198E+00 -0.96826E+01 -0.60033E+03  0.16600E-03  0.45487E-03  0.12054E-03  0.14735E+00  0.10000E+01
#  x/c                -Cp                    delta*/c              theta/c               Cf                    BC
 0.31570580506183E+00 -0.15580425642412E+00  0.39225666415613E-02  0.15244241584577E-02  0.55245793732987E-02  1
 0.30422306642118E+00 -0.15615758785026E+00  0.38370131210281E-02  0.14892746706000E-02  0.56298727439078E-02  1
 0.29291548591247E+00 -0.15657956790684E+00  0.37547587664320E-02  0.14541464795647E-02  0.57214192998315E-02  1
 0.28178591015877E+00 -0.15671916679212E+00  0.36677933327725E-02  0.14179497929627E-02  0.58318166774272E-02  1
 0.27083714097143E+00 -0.15626829195990E+00  0.35663365086207E-02  0.13795555290357E-02  0.60097646559006E-02  1
 0.26007193464468E+00 -0.15531267486591E+00  0.34489692023003E-02  0.13390403193319E-02  0.62767379924180E-02  1
 0.24949300126180E+00 -0.15453630834952E+00  0.33262777923442E-02  0.12979873023097E-02  0.65963521358821E-02  1
 0.23910300401284E+00 -0.15449702837546E+00  0.32093720401749E-02  0.12579071094477E-02  0.69142626829161E-02  1
 0.22890455852420E+00 -0.15506680768578E+00  0.30989383620389E-02  0.12188293355180E-02  0.72219537740620E-02  1
 0.21890023220013E+00 -0.15601062889977E+00  0.29895840353702E-02  0.11799906327593E-02  0.75498815326928E-02  1
 0.20909254357641E+00 -0.15721858966919E+00  0.28776620743742E-02  0.11409572524921E-02  0.79277844432977E-02  1
 0.19948396168636E+00 -0.15895806929298E+00  0.27640565684812E-02  0.11019737770163E-02  0.83595817061720E-02  1
 0.19007690543921E+00 -0.16152192367724E+00  0.26525955861412E-02  0.10636819447517E-02  0.88238347417475E-02  1
 0.18087374301120E+00 -0.16529276809769E+00  0.25471425980039E-02  0.10266570325556E-02  0.92865523800772E-02  1
 0.17187679124937E+00 -0.17021152099545E+00  0.24489858056188E-02  0.99101620282432E-03  0.97268963751783E-02  1
 0.16308831508836E+00 -0.17627040320872E+00  0.23574067662032E-02  0.95651821189952E-03  0.10137998242274E-01  1
 0.15451052698015E+00 -0.18316298334002E+00  0.22707562418579E-02  0.92275135922528E-03  0.10524920451863E-01  1
 0.14614558633716E+00 -0.19082120984057E+00  0.21876193486891E-02  0.88932371975246E-03  0.10891381234317E-01  1
 0.13799559898857E+00 -0.19898741944897E+00  0.21058979416553E-02  0.85572964231900E-03  0.11253426704646E-01  1
 0.13006261665022E+00 -0.20729505467506E+00  0.20200149266829E-02  0.82105663306969E-03  0.11687337060105E-01  1
 0.12234863640812E+00 -0.21548677362356E+00  0.19235099210929E-02  0.78460175327449E-03  0.12322351363434E-01  1
 0.11485560021564E+00 -0.22453891065337E+00  0.18170748940310E-02  0.74708226663082E-03  0.13223811885630E-01  1
 0.10758539440467E+00 -0.23628606113437E+00  0.17113191473333E-02  0.71075435753093E-03  0.14280660340554E-01  1
 0.10053984921075E+00 -0.25255249600836E+00  0.16184068290130E-02  0.67774132958366E-03  0.15244284390419E-01  1
 0.93720738312309E-01 -0.27261940201637E+00  0.15409012646293E-02  0.64808472938880E-03  0.15973699791931E-01  1
 0.87129778384140E-01 -0.29526075070177E+00  0.14730718329219E-02  0.62012470867525E-03  0.16506341056359E-01  1
 0.80768628665251E-01 -0.31867570457672E+00  0.14059919055289E-02  0.59184018436279E-03  0.17029076103788E-01  1
 0.74638890541154E-01 -0.34280263805819E+00  0.13334440913290E-02  0.56222651647195E-03  0.17733913985516E-01  1
 0.68742107140729E-01 -0.36873833203858E+00  0.12563482662482E-02  0.53189544688876E-03  0.18659496495002E-01  1
 0.63079762947743E-01 -0.39834139980834E+00  0.11800122902222E-02  0.50218111877194E-03  0.19674031052405E-01  1
 0.57653283427148E-01 -0.43191706764022E+00  0.11076396780659E-02  0.47383134525424E-03  0.20666162963316E-01  1
 0.52464034666217E-01 -0.46997868465494E+00  0.10401549679910E-02  0.44697143172853E-03  0.21547907349494E-01  1
 0.47513323030650E-01 -0.51162708343195E+00  0.97632852789455E-03  0.42130150593826E-03  0.22335842528117E-01  1
 0.42802394835693E-01 -0.55725887403589E+00  0.91564460333088E-03  0.39671965153856E-03  0.22998901634854E-01  1
 0.38332436032394E-01 -0.60621068773846E+00  0.85791182412303E-03  0.37325424670033E-03  0.23513119135518E-01  1
 0.34104571909040E-01 -0.65877569515023E+00  0.80393822140958E-03  0.35106836826209E-03  0.23741761671829E-01  1
 0.30119866807873E-01 -0.71327913000776E+00  0.75299740550765E-03  0.32984010841428E-03  0.23646599969477E-01  1
 0.26379323857149E-01 -0.76885328524330E+00  0.70355449436135E-03  0.30890622983470E-03  0.23184675212233E-01  1
 0.22883884718605E-01 -0.82335363131175E+00  0.65335536879346E-03  0.28764985815698E-03  0.22445461160745E-01  1
 0.19634429350400E-01 -0.87618404399165E+00  0.60320289260137E-03  0.26620906862805E-03  0.21220785265118E-01  1
 0.16631775785591E-01 -0.92468219672721E+00  0.55286000336221E-03  0.24457411813737E-03  0.19435513643839E-01  1
 0.13876679926199E-01 -0.96550416400772E+00  0.57707106335043E-03  0.25802738980918E-03  0.13817420585444E-01  1
 0.11369835352910E-01 -0.99247458800511E+00  0.10191898550155E-02  0.45703580942398E-03  0.14194590642118E-02  1
 0.91118731504758E-02 -0.99929075228384E+00  0.82849311707620E-03  0.37148234203733E-03  0.12176876660510E-03  1
 0.71033617488364E-02 -0.97884153054164E+00  0.47261027695487E-03  0.21131466547836E-03  0.73430426783620E-02  1
 0.53448067800247E-02 -0.92428279750845E+00  0.44235846769752E-03  0.19726958178675E-03  0.16603223134969E-01  1
 0.38366509508745E-02 -0.82966172374621E+00  0.45046830954406E-03  0.20060038589986E-03  0.25699221706602E-01  1
 0.25792739315716E-02 -0.68464985801913E+00  0.44922423572579E-03  0.20091331260132E-03  0.36489762379197E-01  1
 0.15729922600740E-02 -0.47521381062987E+00  0.42600112251979E-03  0.19089659409221E-03  0.50821789796084E-01  1
 0.81805926242545E-03 -0.18850799491159E+00  0.38419670223232E-03  0.17211438591339E-03  0.70863118712332E-01  1
 0.31466498898136E-03  0.14885799715064E+00  0.34405149614299E-03  0.15418142944039E-03  0.94808902987420E-01  1

 0.12587233313022E-03  0.44039413142664E+00  0.34223787513501E-03  0.15234093062788E-03  0.10548052340930E+00  1
 0.31466498898136E-03  0.61799995447669E+00  0.38552515127328E-03  0.16429769177517E-03  0.90372431728823E-01  1
 0.81805926242545E-03  0.71610094684089E+00  0.46264054327743E-03  0.19047378316894E-03  0.71927094427474E-01  1
 0.15729922600740E-02  0.83682871632599E+00  0.52371084658146E-03  0.21794807259208E-03  0.67737512179103E-01  1
 0.25792739315716E-02  0.10286583789742E+01  0.54891414462388E-03  0.23488920543588E-03  0.72694460530434E-01  1
 0.38366509508745E-02  0.12616600776506E+01  0.56441809959405E-03  0.24500269992363E-03  0.77328069870932E-01  1
 0.53448067800247E-02  0.14702556767629E+01  0.59223894868734E-03  0.25559364382990E-03  0.76208064594161E-01  1
 0.71033617488364E-02  0.16082253033874E+01  0.64564973186508E-03  0.27205549652356E-03  0.68179845760495E-01  1
 0.91118731504758E-02  0.16734998163246E+01  0.72487340409261E-03  0.29568621345388E-03  0.57129906347804E-01  1
 0.11369835352910E-01  0.16993068733829E+01  0.81635886284593E-03  0.32341231323819E-03  0.47609308169246E-01  1
 0.13876679926199E-01  0.17018446246738E+01  0.91344299355547E-03  0.35330212664311E-03  0.40180511902675E-01  1
 0.16631775785591E-01  0.16908375545300E+01  0.10156312903445E-02  0.38467293609378E-03  0.34231542372613E-01  1
 0.19634429350400E-01  0.16694564624299E+01  0.11224822377733E-02  0.41716250769603E-03  0.29384996497231E-01  1
 0.22883884718605E-01  0.16448799283973E+01  0.12249007785095E-02  0.44954269694804E-03  0.25940184821122E-01  1
 0.26379323857149E-01  0.16249503572553E+01  0.13113132911201E-02  0.48038758287024E-03  0.24047358996545E-01  1
 0.30119866807873E-01  0.16119675570806E+01  0.13804095090917E-02  0.50904364646285E-03  0.23223098749195E-01  1
 0.34104571909040E-01  0.16040761013950E+01  0.14420366274320E-02  0.53623941035107E-03  0.22721157643482E-01  1
 0.38332436032394E-01  0.15975767872540E+01  0.15057994407705E-02  0.56310151423493E-03  0.22073878960319E-01  1
 0.42802394835693E-01  0.15910519182133E+01  0.15738448698878E-02  0.59008687374371E-03  0.21252429087188E-01  1
 0.47513323030650E-01  0.15848146939554E+01  0.16426279306872E-02  0.61693340944627E-03  0.20442673536641E-01  1
 0.52464034666217E-01  0.15800671415589E+01  0.17084757130160E-02  0.64324298674957E-03  0.19775635578784E-01  1
 0.57653283427148E-01  0.15766688183426E+01  0.17727260575493E-02  0.66913700494352E-03  0.19184398684427E-01  1
 0.63079762947743E-01  0.15728686553986E+01  0.18422822019007E-02  0.69550458872865E-03  0.18463145384343E-01  1
 0.68742107140729E-01  0.15659717945871E+01  0.19269631770916E-02  0.72371826865125E-03  0.17397497730833E-01  1
 0.74638890541154E-01  0.15535199357584E+01  0.20321060732286E-02  0.75458909086450E-03  0.15973490140524E-01  1
 0.80768628665251E-01  0.15368342218735E+01  0.21519193888009E-02  0.78751002011891E-03  0.14455342585410E-01  1
 0.87129778384140E-01  0.15189278437658E+01  0.22714936320809E-02  0.82079660575654E-03  0.13177074445314E-01  1
 0.93720738312309E-01  0.15028756109254E+01  0.23743700385269E-02  0.85263558320356E-03  0.12350251117835E-01  1
 0.10053984921075E+00  0.14902813551295E+01  0.24549431520795E-02  0.88229486384305E-03  0.11947191642199E-01  1
 0.10758539440467E+00  0.14801500668210E+01  0.25217899813554E-02  0.91038553176508E-03  0.11758889724337E-01  1
 0.11485560021564E+00  0.14710767459595E+01  0.25865778620996E-02  0.93796847334296E-03  0.11591557030833E-01  1
 0.12234863640812E+00  0.14620807516701E+01  0.26555743958861E-02  0.96573986431698E-03  0.11362573275324E-01  1
 0.13006261665022E+00  0.14529251987425E+01  0.27303543706638E-02  0.99396683153010E-03  0.11064985529215E-01  1
