# Reynolds:  0.18340E+05
# Mach:  0.10414E+00
#  r/R          c/R          V (m/s)      AoA (deg)    beta (deg)   phi (deg)    Cl           Cd           s factor     Ue (m/s)     dp/ds (Pa/m) delta (m)    delta* (m)   theta (m)    tau_w (Pa)   x trans/c    Ue (m/s)     dp/ds (Pa/m) delta (m)    delta* (m)   theta (m)    tau_w (Pa)   x trans/c
#  0.26768E+00  0.17122E+00  0.55096E+01  0.98651E+01  0.34221E+02  0.22334E+02  0.14015E+01  0.63118E-01  0.12485E+00  0.55980E+01  0.60259E+03  0.73139E-02  0.21234E-02  0.80630E-03  0.33272E-01  0.45573E+00 -0.47143E+01 -0.32764E+03  0.53613E-03  0.38618E-03  0.12685E-03  0.52684E-01  0.10000E+01
#  x/c                -Cp                    delta*/c              theta/c               Cf                    BC
 0.99206706157050E+00 -0.22523613005364E-01  0.44307524844338E-02  0.19855440350710E-02  0.71868511073495E-02  1
 0.97620309436915E+00 -0.66310853543740E-01  0.48150899280284E-02  0.21576925302868E-02  0.64810589985263E-02  1
 0.96034511791188E+00 -0.10909213819069E+00  0.52019093511860E-02  0.23313462684132E-02  0.58772126557726E-02  1
 0.94449712435965E+00 -0.13491170124788E+00  0.55058440612270E-02  0.24598945507681E-02  0.54489044426506E-02  1
 0.92866310336034E+00 -0.15061796008180E+00  0.57903939197707E-02  0.25236242098617E-02  0.48675129471884E-02  1
 0.91284704104426E+00 -0.16085781591895E+00  0.59886363893796E-02  0.25538565234881E-02  0.44559683199457E-02  1
 0.89705291902074E+00 -0.16780592371196E+00  0.60938503572275E-02  0.25639694237313E-02  0.42291732853581E-02  1
 0.88128471337577E+00 -0.17319279879776E+00  0.61434958788552E-02  0.25627775084418E-02  0.40994440936865E-02  1
 0.86554639367101E+00 -0.17769513659783E+00  0.61666954278098E-02  0.25560572238951E-02  0.40126709233666E-02  1
 0.84984192194451E+00 -0.18190770414952E+00  0.61824202243259E-02  0.25471764951023E-02  0.39362881464813E-02  1
 0.83417525171325E+00 -0.18603190568737E+00  0.62029090197577E-02  0.25380549292158E-02  0.38504864858739E-02  1
 0.81855032697790E+00 -0.18999947983920E+00  0.62289969530272E-02  0.25286669470381E-02  0.37542044423561E-02  1
 0.80297108122994E+00 -0.19361292916714E+00  0.62559561620472E-02  0.25181695712648E-02  0.36550655459323E-02  1
 0.78744143646137E+00 -0.19683383481216E+00  0.62802357939311E-02  0.25059944179214E-02  0.35582157124969E-02  1
 0.77196530217744E+00 -0.19964034369672E+00  0.63008676852497E-02  0.24920056022858E-02  0.34647612202312E-02  1
 0.75654657441241E+00 -0.20207436415520E+00  0.63154304820921E-02  0.24759024858578E-02  0.33776401380168E-02  1
 0.74118913474876E+00 -0.20393774430947E+00  0.63143738312472E-02  0.24565375689250E-02  0.33102024273971E-02  1
 0.72589684934000E+00 -0.20505257209668E+00  0.62825104602353E-02  0.24322523260113E-02  0.32838656146557E-02  1
 0.71067356793742E+00 -0.20527772694425E+00  0.62104343042637E-02  0.24022947019335E-02  0.33138316971405E-02  1
 0.69552312292093E+00 -0.20497350906408E+00  0.61061323878739E-02  0.23680576416869E-02  0.33924728031507E-02  1
