# Reynolds:  0.43430E+05
# Mach:  0.32787E+00
#  r/R          c/R          V (m/s)      AoA (deg)    beta (deg)   phi (deg)    Cl           Cd           s factor     Ue (m/s)     dp/ds (Pa/m) delta (m)    delta* (m)   theta (m)    tau_w (Pa)   x trans/c    Ue (m/s)     dp/ds (Pa/m) delta (m)    delta* (m)   theta (m)    tau_w (Pa)   x trans/c
#  0.83309E+00  0.12879E+00  0.17346E+02  0.48262E+01  0.13363E+02  0.84007E+01  0.89142E+00  0.31202E-01  0.90249E-01  0.18031E+02  0.89368E+04  0.20251E-02  0.83316E-03  0.27926E-03  0.33039E+00  0.71039E+00 -0.15527E+02 -0.22626E+04  0.77005E-03  0.34015E-03  0.11356E-03  0.42201E+00  0.10000E+01
#  x/c                -Cp                    delta*/c              theta/c               Cf                    BC
 0.99206706157050E+00  0.20683940550912E-01  0.59782793058460E-02  0.22707742164118E-02  0.59370663340489E-02 -1
 0.97620309436915E+00 -0.29641534310613E-01  0.65659218325783E-02  0.25153999133126E-02  0.51452294660541E-02 -1
 0.96034511791188E+00 -0.78492510065262E-01  0.71386491164769E-02  0.27535674389711E-02  0.45298636956620E-02 -1
 0.94449712435965E+00 -0.99244011742328E-01  0.78312674715590E-02  0.28880743218673E-02  0.33621436010213E-02 -1
 0.92866310336034E+00 -0.10944350398134E+00  0.78245846129430E-02  0.28838823368130E-02  0.30784460125766E-02  1
 0.91284704104426E+00 -0.11685039862143E+00  0.74305475194447E-02  0.28549280698751E-02  0.31799883157761E-02  1
 0.89705291902074E+00 -0.12356398286240E+00  0.72913404072902E-02  0.28285000220289E-02  0.32071623936816E-02  1
 0.88128471337577E+00 -0.12959071442280E+00  0.72289587360751E-02  0.28067351787575E-02  0.31866012916097E-02  1
 0.86554639367101E+00 -0.13440694927652E+00  0.71896911613546E-02  0.27858273766790E-02  0.31546973314016E-02  1
 0.84984192194451E+00 -0.13813301403370E+00  0.71467799965672E-02  0.27632171714438E-02  0.31344291850854E-02  1
 0.83417525171325E+00 -0.14094696203472E+00  0.70933808806818E-02  0.27384896501285E-02  0.31305931723929E-02  1
 0.81855032697790E+00 -0.14317308301121E+00  0.70310153596531E-02  0.27121046607017E-02  0.31397530184107E-02  1
 0.80297108122994E+00 -0.14492154066443E+00  0.69620990519185E-02  0.26845234591236E-02  0.31586149486329E-02  1
