# Reynolds:  0.43553E+05
# Mach:  0.32139E+00
#  r/R          c/R          V (m/s)      AoA (deg)    beta (deg)   phi (deg)    Cl           Cd           s factor     Ue (m/s)     dp/ds (Pa/m) delta (m)    delta* (m)   theta (m)    tau_w (Pa)   x trans/c    Ue (m/s)     dp/ds (Pa/m) delta (m)    delta* (m)   theta (m)    tau_w (Pa)   x trans/c
#  0.81738E+00  0.13175E+00  0.17003E+02  0.50048E+01  0.13548E+02  0.83997E+01  0.86953E+00  0.41474E-01  0.91482E-01  0.18212E+02  0.10264E+05  0.24674E-02  0.58994E-03  0.25868E-03  0.55460E+00  0.58222E+00 -0.14991E+02 -0.88091E+03  0.29348E-03  0.20973E-03  0.57080E-04  0.33697E+00  0.10000E+01
#  x/c                -Cp                    delta*/c              theta/c               Cf                    BC
 0.99206706157050E+00 -0.12303223912418E+00  0.12251076667435E-01  0.31196530728571E-02  0.19315183694395E-03 -1
 0.97620309436915E+00 -0.12490053543904E+00  0.12817590432777E-01  0.32749039135154E-02  0.19931619594791E-03 -1
 0.96034511791188E+00 -0.12676681491694E+00  0.13408297661140E-01  0.34390454033314E-02  0.20496679016420E-03 -1
 0.94449712435965E+00 -0.12964397244475E+00  0.13547086523859E-01  0.34887855113414E-02  0.21288646491872E-03 -1
 0.92866310336034E+00 -0.13352479905597E+00  0.13048119393696E-01  0.33733271935506E-02  0.23110321301735E-03 -1
 0.91284704104426E+00 -0.13828367289471E+00  0.10302430534650E-01  0.32121642649842E-02  0.11464735615330E-02  1
 0.89705291902074E+00 -0.14372319085952E+00  0.91701410597003E-02  0.31043702988826E-02  0.17236423651492E-02  1
 0.88128471337577E+00 -0.14924248909475E+00  0.86243154238477E-02  0.30291719674688E-02  0.20356088332497E-02  1
 0.86554639367101E+00 -0.15417424212099E+00  0.82889901431079E-02  0.29705804125364E-02  0.22283264467932E-02  1
 0.84984192194451E+00 -0.15828947197312E+00  0.80399604132654E-02  0.29199301169371E-02  0.23693992779398E-02  1
 0.83417525171325E+00 -0.16159391073557E+00  0.78356302256695E-02  0.28737706348381E-02  0.24843759021998E-02  1
 0.81855032697790E+00 -0.16433369857695E+00  0.76685622560246E-02  0.28316032005560E-02  0.25740381867282E-02  1
 0.80297108122994E+00 -0.16655000097073E+00  0.75335478676075E-02  0.27929759530756E-02  0.26391928461430E-02  1
 0.78744143646137E+00 -0.16831326784437E+00  0.74195569456046E-02  0.27566626356258E-02  0.26873910315934E-02  1
 0.77196530217744E+00 -0.16961894544830E+00  0.73146341801779E-02  0.27212805410337E-02  0.27292365642698E-02  1
 0.75654657441241E+00 -0.17059997188897E+00  0.72117485874451E-02  0.26860129803729E-02  0.27711174743953E-02  1
 0.74118913474876E+00 -0.17124997186051E+00  0.71048328621652E-02  0.26501775352817E-02  0.28197177751981E-02  1
 0.72589684934000E+00 -0.17154462356736E+00  0.69869856574856E-02  0.26130232009166E-02  0.28836735282363E-02  1
 0.71067356793742E+00 -0.17143746151739E+00  0.68549244086392E-02  0.25742231902428E-02  0.29688692367505E-02  1
 0.69552312292093E+00 -0.17110858311083E+00  0.67143955706027E-02  0.25344871549005E-02  0.30703903704259E-02  1
 0.68044932833424E+00 -0.17076593796789E+00  0.65759134959028E-02  0.24950856119085E-02  0.31759234514094E-02  1
 0.66545597892474E+00 -0.17056007157088E+00  0.64466839501654E-02  0.24569021970671E-02  0.32751780231089E-02  1
 0.65054684918818E+00 -0.17051531532776E+00  0.63273669693880E-02  0.24200183218253E-02  0.33657636339644E-02  1
 0.63572569241844E+00 -0.17051385432537E+00  0.62127812945303E-02  0.23837858213827E-02  0.34541724454210E-02  1
 0.62099623976269E+00 -0.17046822896484E+00  0.60977150157951E-02  0.23475607837363E-02  0.35482852235359E-02  1
 0.60636219928208E+00 -0.17039861007405E+00  0.59815570250855E-02  0.23112889640932E-02  0.36496092947198E-02  1
 0.59182725501823E+00 -0.17039138794595E+00  0.58670241003064E-02  0.22753384872897E-02  0.37540613797039E-02  1
 0.57739506606585E+00 -0.17051346538709E+00  0.57570360193216E-02  0.22400941569362E-02  0.38563358876433E-02  1
 0.56306926565152E+00 -0.17080636476300E+00  0.56528336907805E-02  0.22057094988715E-02  0.39533461281802E-02  1
 0.54885346021908E+00 -0.17122846018280E+00  0.55533958445782E-02  0.21720317688679E-02  0.40460595662186E-02  1
 0.53475122852174E+00 -0.17174308714226E+00  0.54566380027061E-02  0.21387702039454E-02  0.41378884192051E-02  1
 0.52076612072110E+00 -0.17230795552198E+00  0.53610057310555E-02  0.21057144349334E-02  0.42317870676549E-02  1
 0.50690165749346E+00 -0.17294276540385E+00  0.52667204018293E-02  0.20728973629265E-02  0.43272829656153E-02  1
 0.49316132914349E+00 -0.17371337439576E+00  0.51768407032615E-02  0.20407208299882E-02  0.44172642520780E-02  1
 0.47954859472556E+00 -0.17475819531988E+00  0.50964865826946E-02  0.20098193172621E-02  0.44884146089015E-02  1
 0.46606688117296E+00 -0.17611076559398E+00  0.50292961319548E-02  0.19805473382006E-02  0.45293027137349E-02  1
 0.45271958243516E+00 -0.17766500829161E+00  0.49735800720367E-02  0.19524711538390E-02  0.45408636574761E-02  1
 0.43951005862344E+00 -0.17910741514044E+00  0.49214043274509E-02  0.19243454765397E-02  0.45406371154461E-02  1
 0.42644163516494E+00 -0.18016670960244E+00  0.48638630060814E-02  0.18949391897274E-02  0.45505312727586E-02  1
 0.41351760196559E+00 -0.18084016982649E+00  0.47974378166407E-02  0.18638623519808E-02  0.45802989502779E-02  1
 0.40074121258179E+00 -0.18115217560877E+00  0.47222884138345E-02  0.18312413137712E-02  0.46313729466896E-02  1
 0.38811568340144E+00 -0.18117759020507E+00  0.46387010127686E-02  0.17972150673035E-02  0.47051299195687E-02  1
 0.37564419283416E+00 -0.18089355819202E+00  0.45460289033108E-02  0.17618054230018E-02  0.48064597952214E-02  1
 0.36332988051118E+00 -0.18038121541647E+00  0.44450347344445E-02  0.17252214559909E-02  0.49369581216120E-02  1
 0.35117584649495E+00 -0.17981015350766E+00  0.43405176613827E-02  0.16881683932166E-02  0.50857583731278E-02  1
 0.33918515049870E+00 -0.17943935062147E+00  0.42400903960800E-02  0.16516509200109E-02  0.52294735911819E-02  1
 0.32736081111621E+00 -0.17942591986441E+00  0.41496178549667E-02  0.16163445000441E-02  0.53452808795924E-02  1
 0.31570580506183E+00 -0.17963137835502E+00  0.40690311318850E-02  0.15820574775238E-02  0.54280716430261E-02  1
 0.30422306642118E+00 -0.17984042248515E+00  0.39941330080771E-02  0.15480466418185E-02  0.54882633992285E-02  1
 0.29291548591247E+00 -0.17980760022106E+00  0.39180531449969E-02  0.15133001467913E-02  0.55490669586196E-02  1
 0.28178591015877E+00 -0.17916855784135E+00  0.38305245901366E-02  0.14765471018508E-02  0.56525502239885E-02  1
 0.27083714097143E+00 -0.17775842067939E+00  0.37229908792193E-02  0.14369416116467E-02  0.58431479102781E-02  1
 0.26007193464468E+00 -0.17577208778153E+00  0.35972908510407E-02  0.13950330704700E-02  0.61315098632689E-02  1
 0.24949300126180E+00 -0.17398433558275E+00  0.34676001340844E-02  0.13528662908629E-02  0.64692294108956E-02  1
 0.23910300401284E+00 -0.17300505119414E+00  0.33476654420600E-02  0.13122770628983E-02  0.67898908859263E-02  1
 0.22890455852420E+00 -0.17269962355368E+00  0.32389819615736E-02  0.12733481107725E-02  0.70755062185369E-02  1
 0.21890023220013E+00 -0.17275560957533E+00  0.31354822361009E-02  0.12351310093071E-02  0.73518192361828E-02  1
 0.20909254357641E+00 -0.17289936366873E+00  0.30312667188173E-02  0.11967869362212E-02  0.76539256742099E-02  1
 0.19948396168636E+00 -0.17312819744242E+00  0.29235822890913E-02  0.11580034551913E-02  0.80062361429648E-02  1
 0.19007690543921E+00 -0.17356447615839E+00  0.28124980684280E-02  0.11189107812993E-02  0.84194903678602E-02  1
 0.18087374301120E+00 -0.17443807773663E+00  0.26990957468124E-02  0.10798036703618E-02  0.88989539239575E-02  1
 0.17187679124937E+00 -0.17596056066441E+00  0.25855327642528E-02  0.10411449926987E-02  0.94407484990516E-02  1
 0.16308831508836E+00 -0.17866717908620E+00  0.24767316186875E-02  0.10037591540921E-02  0.10006032345128E-01  1
 0.15451052698015E+00 -0.18286803020217E+00  0.23786264185810E-02  0.96847904044447E-03  0.10523977743165E-01  1
 0.14614558633716E+00 -0.18867035222284E+00  0.22942693324648E-02  0.93546080791602E-03  0.10928124698576E-01  1
