# Reynolds:  0.43661E+05
# Mach:  0.31517E+00
#  r/R          c/R          V (m/s)      AoA (deg)    beta (deg)   phi (deg)    Cl           Cd           s factor     Ue (m/s)     dp/ds (Pa/m) delta (m)    delta* (m)   theta (m)    tau_w (Pa)   x trans/c    Ue (m/s)     dp/ds (Pa/m) delta (m)    delta* (m)   theta (m)    tau_w (Pa)   x trans/c
#  0.80168E+00  0.13469E+00  0.16674E+02  0.51038E+01  0.13743E+02  0.84906E+01  0.86634E+00  0.42804E-01  0.92616E-01  0.17965E+02  0.10472E+05  0.26560E-02  0.59800E-03  0.26855E-03  0.54815E+00  0.56616E+00 -0.14560E+02 -0.66769E+03  0.72992E-03  0.36316E-03  0.11058E-03  0.27015E+00  0.10000E+01
#  x/c                -Cp                    delta*/c              theta/c               Cf                    BC
 0.99206706157050E+00 -0.10800702003168E+00  0.13893123924010E-01  0.35306170306939E-02  0.17109477218494E-03 -1
 0.97620309436915E+00 -0.10964989940764E+00  0.14001084581297E-01  0.35675498073285E-02  0.17917389543410E-03 -1
 0.96034511791188E+00 -0.11129077938919E+00  0.14103529143591E-01  0.36048456535641E-02  0.18767435376231E-03 -1
 0.94449712435965E+00 -0.11388285338944E+00  0.13849337194897E-01  0.35517880133849E-02  0.19893257352177E-03 -1
 0.92866310336034E+00 -0.11754309896263E+00  0.13235559871404E-01  0.34058684596594E-02  0.21690464832942E-03 -1
 0.91284704104426E+00 -0.12234533078751E+00  0.10700540392525E-01  0.32367730400379E-02  0.10064377564250E-02  1
 0.89705291902074E+00 -0.12840583482029E+00  0.93779965409794E-02  0.31181992344928E-02  0.16321335567078E-02  1
 0.88128471337577E+00 -0.13517027849501E+00  0.86973816477584E-02  0.30354581123469E-02  0.20210568834077E-02  1
 0.86554639367101E+00 -0.14181008642235E+00  0.83096687712609E-02  0.29724393610131E-02  0.22509940689767E-02  1
 0.84984192194451E+00 -0.14768841163605E+00  0.80523667167133E-02  0.29210059760145E-02  0.23963363591561E-02  1
 0.83417525171325E+00 -0.15235898384432E+00  0.78638977222939E-02  0.28764462195637E-02  0.24942959161336E-02  1
 0.81855032697790E+00 -0.15586234123981E+00  0.77124049425177E-02  0.28357789359832E-02  0.25667382975665E-02  1
 0.80297108122994E+00 -0.15828141343105E+00  0.75774444947740E-02  0.27968734136040E-02  0.26300368310426E-02  1
 0.78744143646137E+00 -0.16004220850733E+00  0.74508459191097E-02  0.27588449675743E-02  0.26898168384114E-02  1
