# Reynolds:  0.30763E+05
# Mach:  0.16590E+00
#  r/R          c/R          V (m/s)      AoA (deg)    beta (deg)   phi (deg)    Cl           Cd           s factor     Ue (m/s)     dp/ds (Pa/m) delta (m)    delta* (m)   theta (m)    tau_w (Pa)   x trans/c    Ue (m/s)     dp/ds (Pa/m) delta (m)    delta* (m)   theta (m)    tau_w (Pa)   x trans/c
#  0.42474E+00  0.18029E+00  0.87771E+01  0.80394E+01  0.24086E+02  0.15309E+02  0.11786E+01  0.54374E-01  0.11507E+00  0.87275E+01  0.10135E+04  0.95801E-02  0.23414E-02  0.90255E-03  0.11676E+00  0.59710E+00 -0.76849E+01 -0.58542E+03 -0.84228E-03  0.88464E-03  0.15273E-03  0.63972E-01  0.10000E+01
#  x/c                -Cp                    delta*/c              theta/c               Cf                    BC
 0.31570580506183E+00 -0.19328979931564E+00  0.36718955017049E-02  0.14616675700299E-02  0.64409749558840E-02  1
 0.30422306642118E+00 -0.19516803812388E+00  0.35902039112572E-02  0.14273849948390E-02  0.65655102827546E-02  1
 0.29291548591247E+00 -0.19687354445846E+00  0.35060295923189E-02  0.13923351492690E-02  0.67032013046574E-02  1
 0.28178591015877E+00 -0.19816949479898E+00  0.34127781344625E-02  0.13556734154953E-02  0.68916001787647E-02  1
 0.27083714097143E+00 -0.19920781566284E+00  0.33098315640705E-02  0.13175106743819E-02  0.71441138372966E-02  1
 0.26007193464468E+00 -0.20037418279290E+00  0.32029575136684E-02  0.12788253930018E-02  0.74391228305417E-02  1
 0.24949300126180E+00 -0.20201528948581E+00  0.30987901012538E-02  0.12406019870523E-02  0.77407520437837E-02  1
 0.23910300401284E+00 -0.20420033473285E+00  0.29990140941413E-02  0.12030093424412E-02  0.80350416444556E-02  1
 0.22890455852420E+00 -0.20658071304428E+00  0.28985629445405E-02  0.11652670537347E-02  0.83558036685462E-02  1
 0.21890023220013E+00 -0.20904381145162E+00  0.27922345499986E-02  0.11267368590826E-02  0.87507129160591E-02  1
 0.20909254357641E+00 -0.21189960897422E+00  0.26812010178007E-02  0.10878282099791E-02  0.92288935457303E-02  1
 0.19948396168636E+00 -0.21576344145502E+00  0.25711860889630E-02  0.10495909274587E-02  0.97561015198799E-02  1
 0.19007690543921E+00 -0.22090848410516E+00  0.24669718751155E-02  0.10128297443010E-02  0.10290765173226E-01  1
 0.18087374301120E+00 -0.22759358122653E+00  0.23708917882751E-02  0.97785078949361E-03  0.10798239006979E-01  1
 0.17187679124937E+00 -0.23553486634299E+00  0.22821207053262E-02  0.94437462912319E-03  0.11272083727008E-01  1
 0.16308831508836E+00 -0.24459155183583E+00  0.21980431732299E-02  0.91182508372859E-03  0.11728807402301E-01  1
 0.15451052698015E+00 -0.25443214850676E+00  0.21159741882529E-02  0.87967261288114E-03  0.12196752510478E-01  1
 0.14614558633716E+00 -0.26515756396566E+00  0.20349192390601E-02  0.84772358927300E-03  0.12688070483818E-01  1
 0.13799559898857E+00 -0.27681481448648E+00  0.19557336147577E-02  0.81605778649530E-03  0.13187863141005E-01  1
 0.13006261665022E+00 -0.28945309617653E+00  0.18785511013460E-02  0.78454472721977E-03  0.13685309073439E-01  1
 0.12234863640812E+00 -0.30268309588274E+00  0.18009286467427E-02  0.75263591813629E-03  0.14218680206405E-01  1
 0.11485560021564E+00 -0.31652624722940E+00  0.17200644064450E-02  0.71988616265554E-03  0.14851362926411E-01  1
 0.10758539440467E+00 -0.33130362855494E+00  0.16356119079699E-02  0.68643642176757E-03  0.15620464580225E-01  1
 0.10053984921075E+00 -0.34783794105292E+00  0.15495408706492E-02  0.65287604874535E-03  0.16517694220024E-01  1
 0.93720738312309E-01 -0.36659308767794E+00  0.14638837234764E-02  0.61982486591071E-03  0.17529625761509E-01  1
 0.87129778384140E-01 -0.38856939799291E+00  0.13813249656231E-02  0.58796687351191E-03  0.18599562710248E-01  1
 0.80768628665251E-01 -0.41389716490599E+00  0.13035219590065E-02  0.55770601596553E-03  0.19676722195055E-01  1
 0.74638890541154E-01 -0.44305298570189E+00  0.12311658967980E-02  0.52913146254344E-03  0.20704980958266E-01  1
 0.68742107140729E-01 -0.47534388794012E+00  0.11630427829189E-02  0.50198317828183E-03  0.21707678693783E-01  1
 0.63079762947743E-01 -0.51120888467094E+00  0.10988516500648E-02  0.47625128698094E-03  0.22669810893575E-01  1
 0.57653283427148E-01 -0.55026357037665E+00  0.10389452896257E-02  0.45202455790032E-03  0.23553037627825E-01  1
 0.52464034666217E-01 -0.59248001138992E+00  0.98350433080510E-03  0.42915125209866E-03  0.24287541226906E-01  1
 0.47513323030650E-01 -0.63629520467941E+00  0.93047272272739E-03  0.40691749550172E-03  0.24943568888136E-01  1
 0.42802394835693E-01 -0.68138601833443E+00  0.87788708933025E-03  0.38468895498572E-03  0.25600942747016E-01  1
 0.38332436032394E-01 -0.72726685707929E+00  0.82452265790310E-03  0.36223541973359E-03  0.26363972739330E-01  1
 0.34104571909040E-01 -0.77454220913869E+00  0.77194622854880E-03  0.34005992074754E-03  0.27170247157024E-01  1
 0.30119866807873E-01 -0.82217941587540E+00  0.72029015584984E-03  0.31815839128560E-03  0.28117343521883E-01  1
 0.26379323857149E-01 -0.86919550429674E+00  0.66908951711318E-03  0.29624257850454E-03  0.29586950195929E-01  1
 0.22883884718605E-01 -0.91267221604952E+00  0.67161564551097E-03  0.30015660923540E-03  0.31274011961480E-01  1
 0.19634429350400E-01 -0.95039751629084E+00  0.11107128880305E-02  0.49789311278977E-03  0.91512891645277E-02  1
 0.16631775785591E-01 -0.97933302741232E+00  0.10583878303958E-02  0.47445706796143E-03  0.40876653221847E-02  1
 0.13876679926199E-01 -0.99663745317412E+00  0.53819978052804E-03  0.24042492897200E-03  0.15438398131867E-02  1
 0.11369835352910E-01 -0.99790896172955E+00  0.49599055999558E-03  0.22147603172723E-03  0.80697912411502E-03  1
 0.91118731504758E-02 -0.97775988836014E+00  0.50631245512224E-03  0.22680841145700E-03  0.43563184814402E-02  1
 0.71033617488364E-02 -0.93056719397899E+00  0.47486392390988E-03  0.21288155849061E-03  0.10395586493860E-01  1
 0.53448067800247E-02 -0.85044314917241E+00  0.44605545295999E-03  0.19994648338518E-03  0.19937217858458E-01  1
 0.38366509508745E-02 -0.73336752519222E+00  0.43003411035062E-03  0.19277583728962E-03  0.29005987596310E-01  1
 0.25792739315716E-02 -0.57614734035050E+00  0.42243478231337E-03  0.18919776633991E-03  0.38640480804799E-01  1
 0.15729922600740E-02 -0.37771660029926E+00  0.42287081634311E-03  0.18871880320549E-03  0.47922083506650E-01  1
 0.81805926242545E-03 -0.13551966816853E+00  0.42413735410636E-03  0.18917439846499E-03  0.57729523774446E-01  1
 0.31466498898136E-03  0.14363969353562E+00  0.42573918333798E-03  0.18975498065417E-03  0.67438719134823E-01  1

 0.12587233313022E-03  0.43772936822429E+00  0.43425806395585E-03  0.19246322580591E-03  0.74451046496577E-01  1
 0.31466498898136E-03  0.72291568039220E+00  0.45504767425108E-03  0.19943971028367E-03  0.76939874599898E-01  1
 0.81805926242545E-03  0.99106494982936E+00  0.48298007289527E-03  0.20976828232771E-03  0.77276378403616E-01  1
 0.15729922600740E-02  0.12403874487226E+01  0.51308428506288E-03  0.22133348058737E-03  0.76770308232356E-01  1
 0.25792739315716E-02  0.14505839290088E+01  0.55002450389722E-03  0.23471064954332E-03  0.73721210966845E-01  1
 0.38366509508745E-02  0.16066824458500E+01  0.59877093281382E-03  0.25100307280916E-03  0.67574701400485E-01  1
 0.53448067800247E-02  0.17122078717087E+01  0.66091682856042E-03  0.27139173809235E-03  0.59929767253302E-01  1
 0.71033617488364E-02  0.17901352726903E+01  0.72707517339075E-03  0.29373079628479E-03  0.53497903405153E-01  1
