# Reynolds:  0.42637E+05
# Mach:  0.34622E+00
#  r/R          c/R          V (m/s)      AoA (deg)    beta (deg)   phi (deg)    Cl           Cd           s factor     Ue (m/s)     dp/ds (Pa/m) delta (m)    delta* (m)   theta (m)    tau_w (Pa)   x trans/c    Ue (m/s)     dp/ds (Pa/m) delta (m)    delta* (m)   theta (m)    tau_w (Pa)   x trans/c
#  0.88020E+00  0.11973E+00  0.18317E+02  0.46067E+01  0.12852E+02  0.81153E+01  0.86040E+00  0.36037E-01  0.87448E-01  0.19112E+02  0.11455E+05  0.18739E-02  0.79866E-03  0.26240E-03  0.33379E+00  0.67383E+00 -0.16102E+02 -0.19722E+04  0.99742E-03  0.34154E-03  0.11036E-03  0.45322E+00  0.10000E+01
#  x/c                -Cp                    delta*/c              theta/c               Cf                    BC
 0.99206706157050E+00  0.22796536243524E-01  0.82201372770684E-02  0.27773082121952E-02  0.38278779729260E-02 -1
 0.97620309436915E+00 -0.16249374986868E-02  0.85937165731378E-02  0.28826760232617E-02  0.34537876901812E-02 -1
 0.96034511791188E+00 -0.25656843524900E-01  0.90773403456289E-02  0.29882915035126E-02  0.28719366338687E-02 -1
 0.94449712435965E+00 -0.43129509572389E-01  0.93442496584601E-02  0.30377722194417E-02  0.25046503809016E-02 -1
 0.92866310336034E+00 -0.56949428908573E-01  0.84625898453466E-02  0.29886071321831E-02  0.26934573142222E-02  1
 0.91284704104426E+00 -0.68769149221608E-01  0.79310420256661E-02  0.29353990533216E-02  0.29199716155874E-02  1
 0.89705291902074E+00 -0.78833318395909E-01  0.76543057003933E-02  0.28913485970130E-02  0.30550393108248E-02  1
 0.88128471337577E+00 -0.87187342074915E-01  0.74879838240612E-02  0.28552725562435E-02  0.31283597335839E-02  1
 0.86554639367101E+00 -0.93681413949539E-01  0.73694473725967E-02  0.28234025608729E-02  0.31725927906221E-02  1
 0.84984192194451E+00 -0.98879131299003E-01  0.72709735582693E-02  0.27933348611191E-02  0.32056115818735E-02  1
 0.83417525171325E+00 -0.10318275586751E+00  0.71850948939053E-02  0.27644505332917E-02  0.32306142050653E-02  1
 0.81855032697790E+00 -0.10702517773892E+00  0.71132337775759E-02  0.27370039228966E-02  0.32424737756759E-02  1
 0.80297108122994E+00 -0.11047489026209E+00  0.70546822439750E-02  0.27108816234903E-02  0.32402127350395E-02  1
 0.78744143646137E+00 -0.11352566978832E+00  0.70036986276140E-02  0.26852901417865E-02  0.32296899091522E-02  1
 0.77196530217744E+00 -0.11607702425569E+00  0.69529665865511E-02  0.26592672797186E-02  0.32197377510607E-02  1
 0.75654657441241E+00 -0.11817537269466E+00  0.68965837714311E-02  0.26320932217629E-02  0.32175383496565E-02  1
 0.74118913474876E+00 -0.11972034913645E+00  0.68274982515827E-02  0.26029776543031E-02  0.32326861400169E-02  1
 0.72589684934000E+00 -0.12067538497160E+00  0.67384259459592E-02  0.25711628451703E-02  0.32759180632241E-02  1
 0.71067356793742E+00 -0.12101937935503E+00  0.66279956751459E-02  0.25366246815499E-02  0.33516978964695E-02  1
 0.69552312292093E+00 -0.12105738228912E+00  0.65050902348977E-02  0.25005645617393E-02  0.34503397511952E-02  1
 0.68044932833424E+00 -0.12106821223375E+00  0.63822217387317E-02  0.24646085946706E-02  0.35552794807148E-02  1
 0.66545597892474E+00 -0.12122250363798E+00  0.62671628557095E-02  0.24297713398815E-02  0.36543248780644E-02  1
 0.65054684918818E+00 -0.12160335941832E+00  0.61630199172242E-02  0.23964479923402E-02  0.37409437356809E-02  1
 0.63572569241844E+00 -0.12219257058058E+00  0.60695604966946E-02  0.23645710986235E-02  0.38135551852227E-02  1
 0.62099623976269E+00 -0.12295539549409E+00  0.59846239379069E-02  0.23338021443365E-02  0.38740817222394E-02  1
 0.60636219928208E+00 -0.12377709783558E+00  0.59046490581301E-02  0.23036188903123E-02  0.39276056444789E-02  1
 0.59182725501823E+00 -0.12456987886273E+00  0.58261795285231E-02  0.22735324667997E-02  0.39798142706883E-02  1
 0.57739506606585E+00 -0.12530134377593E+00  0.57476732044849E-02  0.22433278342374E-02  0.40334255982567E-02  1
 0.56306926565152E+00 -0.12596532287362E+00  0.56689477359899E-02  0.22129783479988E-02  0.40888699480701E-02  1
 0.54885346021908E+00 -0.12657683897580E+00  0.55903571633532E-02  0.21825279226457E-02  0.41454541783996E-02  1
 0.53475122852174E+00 -0.12713683541615E+00  0.55121884917296E-02  0.21520077162977E-02  0.42025842607775E-02  1
 0.52076612072110E+00 -0.12765402992910E+00  0.54345660991050E-02  0.21214236480387E-02  0.42598537483843E-02  1
 0.50690165749346E+00 -0.12812359665479E+00  0.53574184003409E-02  0.20907534045411E-02  0.43172989677194E-02  1
 0.49316132914349E+00 -0.12853887941939E+00  0.52801104149866E-02  0.20599020596007E-02  0.43761802033862E-02  1
 0.47954859472556E+00 -0.12885426720645E+00  0.52010488120001E-02  0.20286599609178E-02  0.44402794908544E-02  1
 0.46606688117296E+00 -0.12903070280733E+00  0.51180650943123E-02  0.19967649498737E-02  0.45152659186740E-02  1
 0.45271958243516E+00 -0.12903461352483E+00  0.50296991457495E-02  0.19640735061618E-02  0.46060571032918E-02  1
 0.43951005862344E+00 -0.12893134106548E+00  0.49368777523900E-02  0.19307673017580E-02  0.47121019060298E-02  1
 0.42644163516494E+00 -0.12883181708026E+00  0.48431125762927E-02  0.18973542176059E-02  0.48257754203677E-02  1
 0.41351760196559E+00 -0.12888043004431E+00  0.47537322038186E-02  0.18645421550587E-02  0.49326859642657E-02  1
 0.40074121258179E+00 -0.12923348773134E+00  0.46745386403823E-02  0.18330295136682E-02  0.50142644853108E-02  1
 0.38811568340144E+00 -0.12988436865854E+00  0.46084578071928E-02  0.18030332946535E-02  0.50579662763801E-02  1
 0.37564419283416E+00 -0.13066571181951E+00  0.45531638023660E-02  0.17740049070852E-02  0.50664965452525E-02  1
