# Reynolds:  0.39043E+05
# Mach:  0.38640E+00
#  r/R          c/R          V (m/s)      AoA (deg)    beta (deg)   phi (deg)    Cl           Cd           s factor     Ue (m/s)     dp/ds (Pa/m) delta (m)    delta* (m)   theta (m)    tau_w (Pa)   x trans/c    Ue (m/s)     dp/ds (Pa/m) delta (m)    delta* (m)   theta (m)    tau_w (Pa)   x trans/c
#  0.99014E+00  0.98237E-01  0.20443E+02  0.19159E+01  0.11809E+02  0.96240E+01  0.55690E+00  0.36423E-01  0.81155E-01  0.21075E+02  0.23140E+05  0.17363E-02  0.62427E-03  0.21099E-03  0.45055E+00  0.74467E+00 -0.18152E+02 -0.21675E+04  0.15369E-02  0.28481E-03  0.11537E-03  0.84936E+00  0.93290E+00
#  x/c                -Cp                    delta*/c              theta/c               Cf                    BC
 0.32736081111621E+00 -0.53444512228795E-01  0.48878853156499E-02  0.18085019631843E-02  0.42167116200085E-02  1
 0.31570580506183E+00 -0.51233550641507E-01  0.48142715216453E-02  0.17751224664842E-02  0.42476481489528E-02  1
 0.30422306642118E+00 -0.48894806256622E-01  0.47459168645276E-02  0.17418831763045E-02  0.42625177752772E-02  1
 0.29291548591247E+00 -0.46368091580597E-01  0.46824749274604E-02  0.17086272154476E-02  0.42606463586160E-02  1
 0.28178591015877E+00 -0.43595420456328E-01  0.46254068452479E-02  0.16753597233152E-02  0.42365790087941E-02  1
 0.27083714097143E+00 -0.40639483265008E-01  0.45798060406245E-02  0.16423712878321E-02  0.41740983810126E-02  1
 0.26007193464468E+00 -0.37543905567187E-01  0.45526300463175E-02  0.16099401270185E-02  0.40513161031420E-02  1
 0.24949300126180E+00 -0.34159272804724E-01  0.45422449691062E-02  0.15773188325682E-02  0.38717448745850E-02  1
 0.23910300401284E+00 -0.29635678711215E-01  0.45202959317550E-02  0.15418177761421E-02  0.37126394852217E-02  1
 0.22890455852420E+00 -0.23000074539331E-01  0.44156036300008E-02  0.14997895862153E-02  0.37442051086119E-02  1
 0.21890023220013E+00 -0.13637416201368E-01  0.42119046156564E-02  0.14497597801649E-02  0.40785297979754E-02  1
