# Reynolds:  0.43027E+05
# Mach:  0.27187E+00
#  r/R          c/R          V (m/s)      AoA (deg)    beta (deg)   phi (deg)    Cl           Cd           s factor     Ue (m/s)     dp/ds (Pa/m) delta (m)    delta* (m)   theta (m)    tau_w (Pa)   x trans/c    Ue (m/s)     dp/ds (Pa/m) delta (m)    delta* (m)   theta (m)    tau_w (Pa)   x trans/c
#  0.69173E+00  0.15387E+00  0.14384E+02  0.54519E+01  0.15449E+02  0.97883E+01  0.93595E+00  0.36667E-01  0.98538E-01  0.14722E+02  0.52510E+04  0.33656E-02  0.14867E-02  0.48127E-03  0.27363E+00  0.63090E+00 -0.13020E+02 -0.12090E+04  0.68677E-03 -0.26508E-03 -0.34476E-04  0.34023E+00  0.10000E+01
#  x/c                -Cp                    delta*/c              theta/c               Cf                    BC
 0.31570580506183E+00 -0.18749187449695E+00  0.39063711016470E-02  0.15454079416694E-02  0.59451674484757E-02  1
 0.30422306642118E+00 -0.18903560851381E+00  0.38391248878481E-02  0.15137661381935E-02  0.59985491003570E-02  1
 0.29291548591247E+00 -0.19071109246353E+00  0.37847371720329E-02  0.14830869785192E-02  0.59902390594483E-02  1
 0.28178591015877E+00 -0.19201848183840E+00  0.37350543562913E-02  0.14518877301136E-02  0.59487880121524E-02  1
 0.27083714097143E+00 -0.19244196609113E+00  0.36761125945904E-02  0.14182012774858E-02  0.59325205859998E-02  1
 0.26007193464468E+00 -0.19147336399626E+00  0.35924583567660E-02  0.13803236774074E-02  0.60162634879857E-02  1
 0.24949300126180E+00 -0.18924055003896E+00  0.34762197568886E-02  0.13378269945027E-02  0.62563612705975E-02  1
 0.23910300401284E+00 -0.18608206594236E+00  0.33307692898408E-02  0.12916967140572E-02  0.66756968845541E-02  1
 0.22890455852420E+00 -0.18292343895951E+00  0.31708240427816E-02  0.12442384974359E-02  0.72426007574235E-02  1
 0.21890023220013E+00 -0.18093319719685E+00  0.30165939932142E-02  0.11984048478260E-02  0.78653670255224E-02  1
 0.20909254357641E+00 -0.18083702371459E+00  0.28825717271192E-02  0.11563084277877E-02  0.84377904884015E-02  1
 0.19948396168636E+00 -0.18287595789968E+00  0.27725627223808E-02  0.11183362737325E-02  0.88911867155672E-02  1
 0.19007690543921E+00 -0.18608021950051E+00  0.26781278747150E-02  0.10829064820701E-02  0.92548252169831E-02  1
 0.18087374301120E+00 -0.18977490922515E+00  0.25880766183952E-02  0.10481216253161E-02  0.96060118540820E-02  1
 0.17187679124937E+00 -0.19373113206372E+00  0.24975801107213E-02  0.10132128544805E-02  0.99875792017149E-02  1
 0.16308831508836E+00 -0.19809538500878E+00  0.24063050754180E-02  0.97815625035047E-03  0.10407338118377E-01  1
 0.15451052698015E+00 -0.20288973066884E+00  0.23145561660928E-02  0.94303065417796E-03  0.10868389915230E-01  1
 0.14614558633716E+00 -0.20826485291998E+00  0.22225840714655E-02  0.90791185204507E-03  0.11374359910532E-01  1
 0.13799559898857E+00 -0.21433145404949E+00  0.21310786939751E-02  0.87293680590483E-03  0.11922895546471E-01  1
 0.13006261665022E+00 -0.22126867042114E+00  0.20402746785981E-02  0.83815603458428E-03  0.12515765987403E-01  1
 0.12234863640812E+00 -0.22900771915104E+00  0.19492839607448E-02  0.80348068297450E-03  0.13175960634357E-01  1
 0.11485560021564E+00 -0.23791174225547E+00  0.18584763463148E-02  0.76907203293547E-03  0.13910804847155E-01  1
 0.10758539440467E+00 -0.24830344916823E+00  0.17701062423858E-02  0.73535445873975E-03  0.14688699855508E-01  1
 0.10053984921075E+00 -0.26052935728670E+00  0.16859176660807E-02  0.70252991822501E-03  0.15466200725705E-01  1
 0.93720738312309E-01 -0.27413739378452E+00  0.16042413958382E-02  0.67018083133771E-03  0.16268363476027E-01  1
 0.87129778384140E-01 -0.28912752580915E+00  0.15221687799707E-02  0.63780768410466E-03  0.17169336044427E-01  1
 0.80768628665251E-01 -0.30571557868235E+00  0.14387571763497E-02  0.60544893226175E-03  0.18228896330823E-01  1
 0.74638890541154E-01 -0.32502304946659E+00  0.13562401197553E-02  0.57377509599119E-03  0.19421964009193E-01  1
 0.68742107140729E-01 -0.34760688470192E+00  0.12775566252229E-02  0.54351557739915E-03  0.20676390286794E-01  1
 0.63079762947743E-01 -0.37420159292584E+00  0.12050297083701E-02  0.51507071025436E-03  0.21878698915137E-01  1
 0.57653283427148E-01 -0.40396801865734E+00  0.11380020199771E-02  0.48809810659619E-03  0.23004756007804E-01  1
 0.52464034666217E-01 -0.43658752277551E+00  0.10742979690858E-02  0.46188589631239E-03  0.24091251979997E-01  1
 0.47513323030650E-01 -0.47120244542957E+00  0.10113077746747E-02  0.43572089079572E-03  0.25244462793504E-01  1
 0.42802394835693E-01 -0.50821464836066E+00  0.94767158568524E-03  0.40928572551179E-03  0.26544855540987E-01  1
 0.38332436032394E-01 -0.54784814532201E+00  0.88310490880316E-03  0.38270488765403E-03  0.28071947948991E-01  1
 0.34104571909040E-01 -0.59163196288106E+00  0.81977636040823E-03  0.35667947263244E-03  0.29731082662020E-01  1
 0.30119866807873E-01 -0.63958562175702E+00  0.75901323908865E-03  0.33163995374660E-03  0.31455405398830E-01  1
 0.26379323857149E-01 -0.69204504819131E+00  0.70163049420596E-03  0.30765496319273E-03  0.33138593180466E-01  1
 0.22883884718605E-01 -0.74687929755319E+00  0.64576506360550E-03  0.28409747488639E-03  0.35036040708591E-01  1
 0.19634429350400E-01 -0.80342901521819E+00  0.59004738792446E-03  0.26025114317237E-03  0.37579015908911E-01  1
 0.16631775785591E-01 -0.85914359837771E+00  0.55636753518198E-03  0.24728155785371E-03  0.41393737790991E-01  1
 0.13876679926199E-01 -0.91188804838635E+00  0.76889237287772E-03  0.34443617787386E-03  0.26612350784722E-01  1
 0.11369835352910E-01 -0.95646603006670E+00  0.87058890712361E-03  0.39039861305992E-03  0.79584935424503E-02  1
